plots:	304
Longitude:	10.5085340367

147. plot:	HEG46
category:	Hainich-Dün Grünland
Latitude:	51.2068950614
Longitude:	10.7535482021

148. plot:	HEG47
category:	Hainich-Dün Grünland
Latitude:	51.2842003328
Longitude:	10.3719165024

149. plot:	HEG48
category:	Hainich-Dün Grünland
Latitude:	51.286831328
Longitude:	10.3801379532

150. plot:	HEG49
category:	Hainich-Dün Grünland
Latitude:	51.2789028874
Longitude:	10.3918830227

151. plot:	HEG50
category:	Hainich-Dün Grünland
Latitude:	51.2765094035
Longitude:	10.4207739499

152. plot:	HET38
category:	Hainich-Dün Wald

153. plot:	HET44
category:	Hainich-Dün Wald

154. plot:	HEW01
category:	Hainich-Dün Wald
Latitude:	51.185355081
Longitude:	10.3236211079

155. plot:	HEW02
category:	Hainich-Dün Wald
Latitude:	51.2100112945
Longitude:	10.369953938

156. plot:	HEW03
category:	Hainich-Dün Wald
Latitude:	51.2716477029
Longitude:	10.3107384563

157. plot:	HEW04
category:	Hainich-Dün Wald
Latitude:	51.369481558
Longitude:	10.5333275422

158. plot:	HEW05
category:	Hainich-Dün Wald
Latitude:	51.2638781296
Longitude:	10.2409578716

159. plot:	HEW06
category:	Hainich-Dün Wald
Latitude:	51.2677198313
Longitude:	10.2393782624

160. plot:	HEW07
category:	Hainich-Dün Wald
Latitude:	51.131092424
Longitude:	10.3854488723

161. plot:	HEW08
category:	Hainich-Dün Wald
Latitude:	51.3557921769
Longitude:	10.5169674116

162. plot:	HEW09
category:	Hainich-Dün Wald
Latitude:	51.1302419298
Longitude:	10.3811496502

163. plot:	HEW10
category:	Hainich-Dün Wald
Latitude:	51.0899873483
Longitude:	10.4624338733

164. plot:	HEW11
category:	Hainich-Dün Wald
Latitude:	51.1028344425
Longitude:	10.400854322

165. plot:	HEW12
category:	Hainich-Dün Wald
Latitude:	51.1006881001
Longitude:	10.4551829807

166. plot:	HEW13
category:	Hainich-Dün Wald
Latitude:	51.2426439614
Longitude:	10.3129467075

167. plot:	HEW14
category:	Hainich-Dün Wald
Latitude:	51.366163944
Longitude:	10.2581516944

168. plot:	HEW15
category:	Hainich-Dün Wald
Latitude:	51.2050771735
Longitude:	10.390161909

169. plot:	HEW16
category:	Hainich-Dün Wald
Latitude:	51.1831603571
Longitude:	10.3654658654

170. plot:	HEW17
category:	Hainich-Dün Wald
Latitude:	51.282813576
Longitude:	10.2269038462

171. plot:	HEW18
category:	Hainich-Dün Wald
Latitude:	51.3369669282
Longitude:	10.3654559913

172. plot:	HEW19
category:	Hainich-Dün Wald
Latitude:	51.1992291968
Longitude:	10.3377262691

173. plot:	HEW20
category:	Hainich-Dün Wald
Latitude:	51.3339278121
Longitude:	10.3602545497

174. plot:	HEW21
category:	Hainich-Dün Wald
Latitude:	51.1942782958
Longitude:	10.3190053755

175. plot:	HEW22
category:	Hainich-Dün Wald
Latitude:	51.3371502544
Longitude:	10.3592785389

176. plot:	HEW23
category:	Hainich-Dün Wald
Latitude:	51.2782177401
Longitude:	10.2084480501

177. plot:	HEW24
category:	Hainich-Dün Wald
Latitude:	51.0465026853
Longitude:	10.4912116326

178. plot:	HEW25
category:	Hainich-Dün Wald
Latitude:	51.2845669846
Longitude:	10.2239693692

179. plot:	HEW26
category:	Hainich-Dün Wald
Latitude:	51.3443262423
Longitude:	10.5130315249

180. plot:	HEW27
category:	Hainich-Dün Wald
Latitude:	51.3561161433
Longitude:	10.521263964

181. plot:	HEW28
category:	Hainich-Dün Wald
Latitude:	51.358884052
Longitude:	10.526917886

182. plot:	HEW29
category:	Hainich-Dün Wald
Latitude:	51.1275428161
Longitude:	10.3796868348

183. plot:	HEW30
category:	Hainich-Dün Wald
Latitude:	51.134683874
Longitude:	10.3786368177

184. plot:	HEW31
category:	Hainich-Dün Wald
Latitude:	51.1422526286
Longitude:	10.3773142326

185. plot:	HEW32
category:	Hainich-Dün Wald
Latitude:	51.1395282849
Longitude:	10.3585903186

186. plot:	HEW33
category:	Hainich-Dün Wald
Latitude:	51.3415759448
Longitude:	10.5088148513

187. plot:	HEW34
category:	Hainich-Dün Wald
Latitude:	51.0847108328
Longitude:	10.4542735979

188. plot:	HEW35
category:	Hainich-Dün Wald
Latitude:	51.1046899612
Longitude:	10.4050739485

189. plot:	HEW36
category:	Hainich-Dün Wald
Latitude:	51.106275772
Longitude:	10.4093031658

190. plot:	HEW37
category:	Hainich-Dün Wald
Latitude:	51.0844264448
Longitude:	10.4586076362

191. plot:	HEW38
category:	Hainich-Dün Wald
Latitude:	51.0793590584
Longitude:	10.4601745431

192. plot:	HEW39
category:	Hainich-Dün Wald
Latitude:	51.0929539322
Longitude:	10.4658614642

193. plot:	HEW40
category:	Hainich-Dün Wald
Latitude:	51.0799442764
Longitude:	10.4982588767

194. plot:	HEW41
category:	Hainich-Dün Wald
Latitude:	51.1080561853
Longitude:	10.4549374111

195. plot:	HEW42
category:	Hainich-Dün Wald
Latitude:	51.1027539809
Longitude:	10.4598259195

196. plot:	HEW43
category:	Hainich-Dün Wald
Latitude:	51.3320987308
Longitude:	10.3580238771

197. plot:	HEW44
category:	Hainich-Dün Wald
Latitude:	51.3336765716
Longitude:	10.3680124678

198. plot:	HEW45
category:	Hainich-Dün Wald
Latitude:	51.3639605292
Longitude:	10.2611071882

199. plot:	HEW46
category:	Hainich-Dün Wald
Latitude:	51.0480963843
Longitude:	10.475472469

200. plot:	HEW47
category:	Hainich-Dün Wald
Latitude:	51.1789347352
Longitude:	10.3783438672

201. plot:	HEW48
category:	Hainich-Dün Wald
Latitude:	51.1366895595
Longitude:	10.393698314

202. plot:	HEW49
category:	Hainich-Dün Wald
Latitude:	51.1436471085
Longitude:	10.3845393934

203. plot:	HEW50
category:	Hainich-Dün Wald
Latitude:	51.0928168175
Longitude:	10.4554452066

204. plot:	SEG01
category:	Schorfheide Grünland
Latitude:	53.0874201199
Longitude:	13.969643613

205. plot:	SEG02
category:	Schorfheide Grünland
Latitude:	53.0893068994
Longitude:	13.9800470219

206. plot:	SEG03
category:	Schorfheide Grünland
Latitude:	53.1028343078
Longitude:	13.9856996404

207. plot:	SEG04
category:	Schorfheide Grünland
Latitude:	53.1137541932
Longitude:	14.0018710945

208. plot:	SEG05
category:	Schorfheide Grünland
Latitude:	53.1074526576
Longitude:	14.0005236583

209. plot:	SEG06
category:	Schorfheide Grünland
Latitude:	53.1034952652
Longitude:	13.6228333298

210. plot:	SEG07
category:	Schorfheide Grünland
Latitude:	53.0883827434
Longitude:	13.9770687275

211. plot:	SEG08
category:	Schorfheide Grünland
Latitude:	53.1139706829
Longitude:	14.0170996354

212. plot:	SEG09
category:	Schorfheide Grünland
Latitude:	53.0981819341
Longitude:	13.6125669145

213. plot:	SEG10
category:	Schorfheide Grünland
Latitude:	53.1066189775
Longitude:	13.9975565113

214. plot:	SEG11
category:	Schorfheide Grünland
Latitude:	53.1055917908
Longitude:	13.9929664034

215. plot:	SEG12
category:	Schorfheide Grünland
Latitude:	53.0873902852
Longitude:	13.9651666142

216. plot:	SEG13
category:	Schorfheide Grünland
Latitude:	52.9729737541
Longitude:	13.8190368943

217. plot:	SEG14
category:	Schorfheide Grünland
Latitude:	53.0866128921
Longitude:	13.9802599328

218. plot:	SEG15
category:	Schorfheide Grünland
Latitude:	53.1094117133
Longitude:	14.0091395643

219. plot:	SEG16
category:	Schorfheide Grünland
Latitude:	53.1155376108
Longitude:	13.9991563761

220. plot:	SEG17
category:	Schorfheide Grünland
Latitude:	53.098328709
Longitude:	13.6259992127

221. plot:	SEG18
category:	Schorfheide Grünland
Latitude:	53.1373051619
Longitude:	13.8756098085

222. plot:	SEG19
category:	Schorfheide Grünland
Latitude:	53.12451684
Longitude:	14.0090911662

223. plot:	SEG20
category:	Schorfheide Grünland
Latitude:	53.1035166861
Longitude:	13.6153816683

224. plot:	SEG21
category:	Schorfheide Grünland
Latitude:	53.1062437745
Longitude:	13.6111129329

225. plot:	SEG22
category:	Schorfheide Grünland
Latitude:	53.1008363304
Longitude:	13.9738023393

226. plot:	SEG23
category:	Schorfheide Grünland
Latitude:	53.1076629229
Longitude:	14.0259043152

227. plot:	SEG24
category:	Schorfheide Grünland
Latitude:	53.0930375778
Longitude:	13.9960806945

228. plot:	SEG25
category:	Schorfheide Grünland
Latitude:	53.1106282851
Longitude:	13.6179908205

229. plot:	SEG26
category:	Schorfheide Grünland
Latitude:	53.1058313536
Longitude:	14.0184348694

230. plot:	SEG27
category:	Schorfheide Grünland
Latitude:	53.1227841103
Longitude:	13.7073809813

231. plot:	SEG28
category:	Schorfheide Grünland
Latitude:	53.0931214508
Longitude:	14.0060802647

232. plot:	SEG29
category:	Schorfheide Grünland
Latitude:	53.090363765
Longitude:	13.9986953531

233. plot:	SEG30
category:	Schorfheide Grünland
Latitude:	53.1481412744
Longitude:	13.8306804543

234. plot:	SEG31
category:	Schorfheide Grünland
Latitude:	53.1490864835
Longitude:	13.8354379183

235. plot:	SEG32
category:	Schorfheide Grünland
Latitude:	53.1519292507
Longitude:	13.832087364

236. plot:	SEG33
category:	Schorfheide Grünland
Latitude:	52.9857854702
Longitude:	13.8425129961

237. plot:	SEG34
category:	Schorfheide Grünland
Latitude:	52.9831350747
Longitude:	13.8471996774

238. plot:	SEG35
category:	Schorfheide Grünland
Latitude:	52.980270272
Longitude:	13.8483181227

239. plot:	SEG36
category:	Schorfheide Grünland
Latitude:	52.9869062127
Longitude:	13.8376434069

240. plot:	SEG37
category:	Schorfheide Grünland
Latitude:	53.1349278101
Longitude:	13.8760304642

241. plot:	SEG38
category:	Schorfheide Grünland
Latitude:	53.1157329748
Longitude:	13.6757639408

242. plot:	SEG39
category:	Schorfheide Grünland
Latitude:	52.9809239074
Longitude:	13.8232869643

243. plot:	SEG40
category:	Schorfheide Grünland
Latitude:	53.1157000428
Longitude:	13.8406712422

244. plot:	SEG41
category:	Schorfheide Grünland
Latitude:	53.1221932473
Longitude:	13.8523423904

245. plot:	SEG42
category:	Schorfheide Grünland
Latitude:	52.8706731952
Longitude:	13.9688288888

246. plot:	SEG43
category:	Schorfheide Grünland
Latitude:	52.876577569
Longitude:	13.9678274355

247. plot:	SEG44
category:	Schorfheide Grünland
Latitude:	52.8800593338
Longitude:	13.9651898491

248. plot:	SEG45
category:	Schorfheide Grünland
Latitude:	52.8814555267
Longitude:	13.9593929333

249. plot:	SEG46
category:	Schorfheide Grünland
Latitude:	52.9784378063
Longitude:	13.8263321419

250. plot:	SEG47
category:	Schorfheide Grünland
Latitude:	52.9872657751
Longitude:	13.827582102

251. plot:	SEG48
category:	Schorfheide Grünland
Latitude:	53.09720511
Longitude:	13.6066414018

252. plot:	SEG49
category:	Schorfheide Grünland
Latitude:	52.9747334907
Longitude:	13.8565786823

253. plot:	SEG50
category:	Schorfheide Grünland
Latitude:	53.1217783222
Longitude:	13.7503876671

254. plot:	SET39
category:	Schorfheide Wald

255. plot:	SEW01
category:	Schorfheide Wald
Latitude:	52.9008472902
Longitude:	13.8463669499

256. plot:	SEW02
category:	Schorfheide Wald
Latitude:	52.951728864
Longitude:	13.778028117

257. plot:	SEW03
category:	Schorfheide Wald
Latitude:	52.9207074362
Longitude:	13.6430016042

258. plot:	SEW04
category:	Schorfheide Wald
Latitude:	52.9173466307
Longitude:	13.8473113725

259. plot:	SEW05
category:	Schorfheide Wald
Latitude:	53.0570335601
Longitude:	13.8853662276

260. plot:	SEW06
category:	Schorfheide Wald
Latitude:	52.907442793
Longitude:	13.8416880472

261. plot:	SEW07
category:	Schorfheide Wald
Latitude:	53.1073480195
Longitude:	13.6944189332

262. plot:	SEW08
category:	Schorfheide Wald
Latitude:	53.1917971616
Longitude:	13.9303378591

263. plot:	SEW09
category:	Schorfheide Wald
Latitude:	53.044586875
Longitude:	13.8101029479

264. plot:	SEW10
category:	Schorfheide Wald
Latitude:	53.0910959427
Longitude:	13.637843132

265. plot:	SEW11
category:	Schorfheide Wald
